Precision,Recall,F1-score,False positives,False negatives,Round,Strategy,Classifier,Labelled pairs,New labels added,Unlabelled pairs remaining
0.9927942353883107,0.9935897435897436,0.9931918301962355,9,8,0,Active Learning,Logistic Regression,100,0,113162
0.9975845410628019,0.9927884615384616,0.9951807228915662,3,9,1,Active Learning,Logistic Regression,250,150,113012
0.9967871485943776,0.9943910256410257,0.99558764540714,4,7,2,Active Learning,Logistic Regression,400,150,112862
0.9967923015236567,0.9959935897435898,0.9963927855711423,4,5,3,Active Learning,Logistic Regression,550,150,112712
0.9967897271268058,0.9951923076923077,0.9959903769045709,4,6,4,Active Learning,Logistic Regression,700,150,112562
0.9967923015236567,0.9959935897435898,0.9963927855711423,4,5,5,Active Learning,Logistic Regression,850,150,112412
0.9959935897435898,0.9959935897435898,0.9959935897435898,5,5,6,Active Learning,Logistic Regression,1000,150,112262
0.9951961569255404,0.9959935897435898,0.9955947136563876,6,5,7,Active Learning,Logistic Regression,1150,150,112112
0.9951961569255404,0.9959935897435898,0.9955947136563876,6,5,8,Active Learning,Logistic Regression,1300,150,111962
0.9927942353883107,0.9935897435897436,0.9931918301962355,9,8,0,Random Sampling,Logistic Regression,100,0,113162
0.9935948759007206,0.9943910256410257,0.9939927913496196,8,7,1,Random Sampling,Logistic Regression,250,150,113012
0.9943910256410257,0.9943910256410257,0.9943910256410257,7,7,2,Random Sampling,Logistic Regression,400,150,112862
0.9779874213836478,0.9967948717948718,0.9873015873015873,28,4,3,Random Sampling,Logistic Regression,550,150,112712
0.9810576164167324,0.9959935897435898,0.988469184890656,24,5,4,Random Sampling,Logistic Regression,700,150,112562
0.9841772151898734,0.9967948717948718,0.9904458598726115,20,4,5,Random Sampling,Logistic Regression,850,150,112412
0.9880857823669579,0.9967948717948718,0.9924212205823694,15,4,6,Random Sampling,Logistic Regression,1000,150,112262
0.9880857823669579,0.9967948717948718,0.9924212205823694,15,4,7,Random Sampling,Logistic Regression,1150,150,112112
0.9872915011914217,0.9959935897435898,0.9916234543278819,16,5,8,Random Sampling,Logistic Regression,1300,150,111962
